# 解析学 / Analysis
# reading	word	pos	flags
あすこりあるつぇらのていり	アスコリ・アルツェラの定理	noun
いぇんせんのふとうしき	イェンセンの不等式	noun
いちようしゅうそく	一様収束	noun
いちようれんぞく	一様連続	noun-adj
おうかんすう	凹関数	noun
かげん	下限	noun
かげんきょくげん	下極限	noun
かせきぶん	可積分	noun-adj
かびぶん	可微分	noun-adj
かんすう	関数	noun
かんび	完備	noun-adj
かんびせい	完備性	noun
がうすのはっさんていり	ガウスの発散定理	noun
きゅうすう	級数	noun
きょくげん	極限	noun
きょくしょうち	極小値	noun
きょくだいち	極大値	noun
きょくてん	極点	noun
ぎゃくかんすう	逆関数	noun
ぐりーんのていり	グリーンの定理	noun
げんしかんすう	原始関数	noun
こうぎせきぶん	広義積分	noun
こうばい	勾配	noun
こーしーしゅわるつのふとうしき	コーシー・シュワルツの不等式	noun
こーしーれつ	コーシー列	noun
ごうせいかんすう	合成関数	noun
しぜんたいすう	自然対数	noun
しゅうそく	収束	noun-suru
しゅうそくはんけい	収束半径	noun
じゅうせきぶん	重積分	noun
じょうけんしゅうそく	条件収束	noun
じょうげん	上限	noun
じょうげんきょくげん	上極限	noun
じょうびぶんほうていしき	常微分方程式	noun
すうれつ	数列	noun
せきぶん	積分	noun-suru
せきぶんかのう	積分可能	noun-adj
せっせん	接線	noun
せんせきぶん	線積分	noun
ぜったいしゅうそく	絶対収束	noun
ぜんびぶん	全微分	noun
たいすう	対数	noun
たいせきぶん	体積分	noun
たんちょう	単調	noun-adj
たんちょうげんしょう	単調減少	noun
たんちょうぞうか	単調増加	noun
だるぶーのていり	ダルブーの定理	noun
ちゅうかんちのていり	中間値の定理	noun
ちょうみつ	稠密	noun-adj
ちょうわきゅうすう	調和級数	noun
つよいしゅうそく	強収束	noun
ていせきぶん	定積分	noun
ていらーてんかい	テイラー展開	noun
てんかい	展開	noun-suru	common
とくいてん	特異点	noun
とつかんすう	凸関数	noun
どうかんすう	導関数	noun
はいねぼれるのていり	ハイネ・ボレルの定理	noun
はっさん	発散	noun-suru
びぶん	微分	noun-suru
びぶんかのう	微分可能	noun-adj
びぶんほうていしき	微分方程式	noun
ふていせきぶん	不定積分	noun
ぶぶんせきぶん	部分積分	noun
へいきんちのていり	平均値の定理	noun
へっせぎょうれつ	ヘッセ行列	noun
へるだーのふとうしき	ヘルダーの不等式	noun
へんきょくてん	変曲点	noun
へんびぶん	偏微分	noun-suru
へんびぶんほうていしき	偏微分方程式	noun
ほうこうびぶん	方向微分	noun
ほうらくせん	包絡線	noun
ぼるつぁのわいえるしゅとらすのていり	ボルツァーノ・ワイエルシュトラスの定理	noun
まくろーりんてんかい	マクローリン展開	noun
みんこふすきーのふとうしき	ミンコフスキーの不等式	noun
めんせきぶん	面積分	noun
やこびあん	ヤコビアン	noun
ゆうかい	有界	noun-adj
ゆうかいへんどう	有界変動	noun
よわいしゅうそく	弱収束	noun
らいぷにっつのこうしき	ライプニッツの公式	noun
らぷらしあん	ラプラシアン	noun
りぷしっつれんぞく	リプシッツ連続	noun
りんかいてん	臨界点	noun
りーまんするちぇすせきぶん	リーマン・スティルチェス積分	noun
れいしゅうごう	零集合	noun
れんぞく	連続	noun-adj	common
ろぴたるのていり	ロピタルの定理	noun
ろるのていり	ロルの定理	noun
わいえるしゅとらすのきんじていり	ワイエルシュトラスの近似定理	noun
