# 位相空間論 / Topology
# reading	word	pos	flags
いそう	位相	noun
いそうくうかん	位相空間	noun
いそうたようたい	位相多様体	noun
いってんこんぱくとか	一点コンパクト化	noun
おいらーひょうすう	オイラー標数	noun
かいきゅう	開球	noun
かいしゃぞう	開写像	noun
かいしゅうごう	開集合	noun
かいひふく	開被覆	noun
かぶん	可分	noun-adj
きほんぐん	基本群	noun
きょうかい	境界	noun	common
きょくしょこんぱくと	局所コンパクト	noun-adj
きょり	距離	noun	common
きょりくうかん	距離空間	noun
きんぼう	近傍	noun
こじょうれんけつ	弧状連結	noun-adj
こりつてん	孤立点	noun
こんぱくと	コンパクト	noun-adj
こんぱくとか	コンパクト化	noun
しゅうせきてん	集積点	noun
しょうくうかん	商空間	noun
せいきくうかん	正規空間	noun
せいそくくうかん	正則空間	noun
せきくうかん	積空間	noun
そうたいいそう	相対位相	noun
たようたい	多様体	noun
たんれんけつ	単連結	noun-adj
だいいちかさん	第一可算	noun-adj
だいにかさん	第二可算	noun-adj
ちょくせきいそう	直積位相	noun
どうそう	同相	noun
どうそうしゃぞう	同相写像	noun
ないぶ	内部	noun	common
はうすどるふくうかん	ハウスドルフ空間	noun
ぱらこんぱくと	パラコンパクト	noun-adj
ひふくくうかん	被覆空間	noun
ふぁいばーそく	ファイバー束	noun
ふへんひふく	普遍被覆	noun
ぶぶんくうかん	部分空間	noun
ぶんりこうり	分離公理	noun
へいきゅう	閉球	noun
へいしゃぞう	閉写像	noun
へいしゅうごう	閉集合	noun
へいほう	閉包	noun
ほもとぴー	ホモトピー	noun
ほもとぴーどうち	ホモトピー同値	noun
れんけつ	連結	noun-adj
れんけつせいぶん	連結成分	noun
れんぞくしゃぞう	連続写像	noun
かんびきょりくうかん	完備距離空間	noun
